Day No.,Azimuth   
1,179.1526
2,179.0393
3,178.9271
4,178.8161
5,178.7065
6,178.5984
7,178.4917
8,178.3867
9,178.2834
10,178.1818
11,178.082
12,177.9842
13,177.8883
14,177.7945
15,177.7027
16,177.6131
17,177.5257
18,177.4405
19,177.3576
20,177.2771
21,177.199
22,177.1234
23,177.0503
24,176.9797
25,176.9118
26,176.8465
27,176.7839
28,176.7242
29,176.6672
30,176.6132
31,176.5622
32,176.5141
33,176.4691
34,176.4273
35,176.3885
36,176.3529
37,176.3205
38,176.2913
39,176.2652
40,176.2423
41,176.2226
42,176.2061
43,176.1927
44,176.1825
45,176.1753
46,176.1713
47,176.1704
48,176.1726
49,176.1778
50,176.186
51,176.1971
52,176.2113
53,176.2284
54,176.2483
55,176.2712
56,176.2969
57,176.3255
58,176.3569
59,176.3912
60,176.4282
61,176.468
62,176.5106
63,176.556
64,176.604
65,176.6547
66,176.708
67,176.7639
68,176.8222
69,176.883
70,176.9461
71,177.0115
72,177.0791
73,177.1488
74,177.2206
75,177.2943
76,177.3699
77,177.4473
78,177.5264
79,177.6071
80,177.6893
81,177.7729
82,177.8578
83,177.9439
84,178.0312
85,178.1196
86,178.2089
87,178.2991
88,178.3902
89,178.4821
90,178.5746
91,178.6678
92,178.7615
93,178.8557
94,178.9502
95,179.045
96,179.1399
97,179.2348
98,179.3296
99,179.4242
100,179.5185
101,179.6123
102,179.7055
103,179.798
104,179.8896
105,179.9802
106,180.0696
107,180.1577
108,180.2444
109,180.3295
110,180.4128
111,180.4943
112,180.5738
113,180.6512
114,180.7263
115,180.7991
116,180.8694
117,180.9372
118,181.0023
119,181.0647
120,181.1243
121,181.181
122,181.2346
123,181.2852
124,181.3326
125,181.3767
126,181.4174
127,181.4546
128,181.4882
129,181.5181
130,181.5442
131,181.5664
132,181.5846
133,181.5988
134,181.6088
135,181.6145
136,181.6159
137,181.613
138,181.6055
139,181.5936
140,181.5771
141,181.5561
142,181.5305
143,181.5003
144,181.4656
145,181.4265
146,181.3831
147,181.3353
148,181.2834
149,181.2274
150,181.1674
151,181.1036
152,181.0362
153,180.9651
154,180.8906
155,180.8128
156,180.7319
157,180.6479
158,180.5612
159,180.4718
160,180.3799
161,180.2857
162,180.1894
163,180.0911
164,179.991
165,179.8893
166,179.7863
167,179.682
168,179.5767
169,179.4706
170,179.3641
171,179.2572
172,179.1504
173,179.0438
174,178.9377
175,178.8325
176,178.7283
177,178.6256
178,178.5245
179,178.4254
180,178.3284
181,178.2338
182,178.1419
183,178.0529
184,177.9669
185,177.8842
186,177.8049
187,177.7292
188,177.6572
189,177.5892
190,177.5251
191,177.4651
192,177.4092
193,177.3576
194,177.3103
195,177.2673
196,177.2287
197,177.1944
198,177.1647
199,177.1394
200,177.1186
201,177.1025
202,177.0909
203,177.0839
204,177.0816
205,177.0839
206,177.0908
207,177.1025
208,177.1187
209,177.1396
210,177.165
211,177.1949
212,177.2292
213,177.268
214,177.311
215,177.3582
216,177.4096
217,177.4649
218,177.5242
219,177.5871
220,177.6537
221,177.7238
222,177.7972
223,177.8738
224,177.9534
225,178.0358
226,178.121
227,178.2088
228,178.2991
229,178.3917
230,178.4866
231,178.5835
232,178.6825
233,178.7834
234,178.886
235,178.9904
236,179.0963
237,179.2037
238,179.3124
239,179.4224
240,179.5335
241,179.6456
242,179.7586
243,179.8724
244,179.9869
245,180.1019
246,180.2173
247,180.333
248,180.4489
249,180.5649
250,180.6807
251,180.7963
252,180.9115
253,181.0263
254,181.1403
255,181.2537
256,181.3662
257,181.4777
258,181.5881
259,181.6974
260,181.8055
261,181.9123
262,182.0177
263,182.1216
264,182.224
265,182.3247
266,182.4239
267,182.5212
268,182.6168
269,182.7105
270,182.8023
271,182.8921
272,182.9799
273,183.0656
274,183.1491
275,183.2303
276,183.3093
277,183.3859
278,183.46
279,183.5316
280,183.6006
281,183.667
282,183.7305
283,183.7913
284,183.8492
285,183.9041
286,183.956
287,184.005
288,184.0508
289,184.0936
290,184.1333
291,184.1698
292,184.2032
293,184.2333
294,184.2603
295,184.2841
296,184.3047
297,184.3221
298,184.3363
299,184.3472
300,184.355
301,184.3595
302,184.3609
303,184.359
304,184.3539
305,184.3457
306,184.3342
307,184.3195
308,184.3016
309,184.2804
310,184.256
311,184.2283
312,184.1974
313,184.1632
314,184.1258
315,184.0851
316,184.0413
317,183.9943
318,183.9441
319,183.8908
320,183.8345
321,183.7752
322,183.713
323,183.6478
324,183.5798
325,183.5091
326,183.4357
327,183.3596
328,183.281
329,183.2
330,183.1165
331,183.0308
332,182.9428
333,182.8526
334,182.7604
335,182.6661
336,182.5699
337,182.4718
338,182.3719
339,182.2701
340,182.1667
341,182.0617
342,181.955
343,181.8469
344,181.7374
345,181.6266
346,181.5145
347,181.4014
348,181.2871
349,181.172
350,181.056
351,180.9393
352,180.822
353,180.7042
354,180.586
355,180.4676
356,180.349
357,180.2304
358,180.1119
359,179.9937
360,179.8757
361,179.7583
362,179.6413
363,179.525
364,179.4095
365,179.2948
